Iteration,Exploitability
0, 4.375451263537906
373177.8425655976, 3.436823104693141
1212827.988338193, 2.7725631768953067
1772594.7521865894, 2.194945848375451
2682215.7434402336, 1.55956678700361
4081632.6530612255, 0.9241877256317688
5667638.483965015, 0.6498194945848379
7743440.233236153, 0.5631768953068592
9702623.90670554, 0.44765342960288734
11638483.965014577, 0.4620938628158848
12944606.41399417, 0.38989169675090274
14670553.93586006, 0.38989169675090274
16069970.84548105, 0.36101083032490955
