Iteration,NashConv
1230.769230769365, 0.9580357142857145
52307.69230769237, 0.6071428571428573
149230.76923076925, 0.5455357142857145
483076.92307692324, 0.41160714285714295
720000, 0.3526785714285715
849230.7692307692, 0.3258928571428573
1064615.3846153845, 0.29107142857142865
1419999.9999999998, 0.24285714285714288
1689230.7692307688, 0.21339285714285716
1936923.0769230768, 0.1919642857142858
2120000, 0.13303571428571437
2356923.076923076, 0.09017857142857166
2583076.923076923, 0.06875000000000009
3196923.076923076, 0.05535714285714288
3563076.923076922, 0.0419642857142859
3907692.307692307, 0.044642857142857206
4467692.307692307, 0.03928571428571437
4995384.615384614, 0.03392857142857153
5953846.153846152, 0.03928571428571437
6675384.615384613, 0.03928571428571437
7170769.230769229, 0.03660714285714306
7515384.615384614, 0.03928571428571437
7849230.769230768, 0.03660714285714306

