Iteration,NashConv
1000, 0.9215942028985506
9230.769230769365, 0.7732142857142859
20000.000000000116, 0.6446428571428573
73846.15384615387, 0.5535714285714288
192307.69230769237, 0.46785714285714297
321538.4615384616, 0.3901785714285715
472307.69230769225, 0.29107142857142865
666153.8461538462, 0.2321428571428572
1000000, 0.18125000000000013
1355384.6153846153, 0.14642857142857146
1839999.9999999998, 0.13035714285714295
2367692.307692307, 0.13035714285714295
3024615.384615384, 0.125
3616923.076923076, 0.125
4187692.307692306, 0.12767857142857153
4704615.384615384, 0.12232142857142869
5199999.999999999, 0.12767857142857153
5673846.153846153, 0.12767857142857153
6190769.230769229, 0.125
6621538.46153846, 0.125
6933846.153846152, 0.125
7321538.46153846, 0.12232142857142869
7795384.615384614, 0.13035714285714295
8075384.615384614, 0.12767857142857153
