iteration,exploitability
1.0138625309475295, 4.756536532130217
10.529833999027407, 1.0000000000000002
38.94336568966213, 0.2979226934380987
49.212760644855855, 0.281967597012423
88.95653895927904, 0.15110640333155445
203.1993301933423, 0.09207536015736809
410.06717607556163, 0.066178532342261
645.8987209320596, 0.05820231231507102
1089.856221603313, 0.06497540631502288
1716.637615988349, 0.06497540631502288
2594.482956618663, 0.06865203045211464
3867.6213253694123, 0.06497540631502288
9863.270112817221, 0.040325307635902634
