iteration,exploitability
1.07137157504033, 0.9729081831946668
2.877940668703251, 0.4887669103832722
4.062397676462553, 0.3143844651322
6.286417111538427, 0.4763390296903775
11.425737220425393, 0.2526614139125057
18.091935465728458, 0.16256159960213667
32.88259381657866, 0.1017749080220749
58.40729130378814, 0.044487655697866176
90.38322309461066, 0.005453742274287653
202.01760662364086, 0.01090267168179082
506.51325898769306, 0.0022619917569939338
748.6028858971008, 0.006122068767424915
1526.2748027925622, 0.007041103343209758
3258.1723358458735, 0.002537646581650463
11269.28098465423, 0.0012756294905647274
35554.79701738942, 0.0005740135649857176
97728.21355978632, 0.0002805278917675222
