iteration,exploitability
10.264236961469418, 710.3708771708716
30.726945939754774, 411.0185153009272
60.57101640189911, 230.69400228476255
104.8265995969085, 185.06604023110225
150.50409054249653, 149.5951424850731
275.38251150297816, 139.70582730290238
399.9947017949032, 128.50229707873086
655.6353092902923, 117.30240887216134
962.9433686185597, 110.38353304926363
1631.2213539863008, 100
2343.289810637212, 90.593222772975
3403.5186376973024, 82.69737973828965
5054.4199388711895, 79.0114021585773
