Iteration,Exploitability
999.999999999998, 2.0231314269441296
2774.481403275878, 1.8050514894018868
5478.180827445241, 1.4806572771858617
9870.0233889874, 1.028097970037163
17323.528848992795, 0.8291771328100905
33760.51717326946, 0.8168017290387066
58485.129320805136, 0.6587426342625995
96151.16384641419, 0.4727785036805154
148065.7277185856, 0.30701367609421304
243424.1355236912, 0.1994004699079749
346555.44539922464, 0.15290904900765873
540697.7289598682, 0.11344313081932497
865964.3233600617, 0.09300881183111914
1265530.8231907368, 0.08014213319321417
1665677.4607575892, 0.07019676310683295
3001046.5178188626, 0.0605163807042091
