Iteration,NashConv
1.0715193052376064, 5.317747046170572
1.9952623149688804, 3.2415854503125425
21.379620895022335, 3.297389418393736
301.9951720402019, 3.297389418393736
776.2471166286928, 3.2415854503125425
891.2509381337477, 2.9260441930527215
1096.4781961431872, 1.4533074304350744
2137.9620895022367, 1.105995208225182
5370.317963702543, 1.0155221903158234
12589.254117941713, 0.9983358162776207
26915.34803926925, 0.9324500787655106
52480.746024977445, 0.6741911459816253
64565.42290346589, 0.37096783103432684
74131.02413009208, 0.25483284861312666
95499.25860214388, 0.2380150104674511
