iteration,exploitability
5173.205268547637, 4.8835057735089515
42974.68130936829, 4.568099156043646
144620.21964052404, 4.5214873406546845
249938.2040326283, 3.941664606801088
388714.2907588546, 2.9462904763586284
540379.2506797558, 2.118012641689325
755923.5848723473, 1.591864119495745
1081853.1727815247, 1.2693951057593846
1467230.4813023058, 1.0655743493767424
1873918.570570995, 0.9791306190190321
2297538.7548995377, 0.8765846251633169
2666125.216285886, 0.8222041738761954
2954270.984144921, 0.8318090328048298
