Total Pool Length,NashConv
3.9618373917567338, 0.023182864991308207
6.029900100289922, 0.000025214467462349086
8.435273298919135, 0.00000198369215143929
9.934292540474694, 2.389728147850841e-7
16.13977577670886, 1.2222703483520574e-7
20.41089035394762, 8.082768991506962e-8
28.579054054918913, 5.455032554523832e-8
39.08413039653829, 3.142832248536439e-8
54.30165310264846, 2.4691665615153307e-8
94.68950358078231, 2.3669085475716364e-8
174.43375270113307, 2.6745284061785373e-8
306.58387546662226, 2.9938564441392284e-8
406.4249448500722, 2.7167552469518163e-8
