Iteration,NashConv
1735.6036426712817, 4.017541726172725
5204.810928013874, 3.297249531200036
10408.621856027778, 2.47024070566625
15612.432784041652, 1.8227456590093125
26020.05464006937, 1.4511629160490114
36427.67649609715, 1.1730240887216126
50304.50563746749, 0.9774600356461509
67650.54206418036, 0.8269737973828962
95404.2003469211, 0.6787083125912102
124892.46227233304, 0.5830107566701388
156115.32784041634, 0.5162633404228445
187338.1934084996, 0.46415888336127775
215091.85169124027, 0.4367812897811542
242845.50997398095, 0.4110185153009274
279272.1864700781, 0.3926986478874691
307025.8447528188, 0.380941323047134
327841.0884648742, 0.3751953313824315
