Iteration,Exploitability
10000, 2.4336061882997972
15919.267369421577, 2.253860209935998
40343.09665886785, 2.2618123533989003
86596.43233600653, 1.9902126761029533
212286.84221461933, 1.6411721911806973
476304.42405493296, 1.30082559673712
956685.586218058, 0.9909639209093213
1778279.410038923, 0.8270630552304432
3093033.4401975935, 0.6991840246536669
5500277.681265248, 0.5834443483511959
9152473.108773893, 0.506223360113929
15919267.369421609, 0.4008559082228616
24787388.24775344, 0.3343318227229169
