Iteration,Milliblinds
1.0174512675572691,1852.39906783362
2.026792981965316,1852.39906783362
3.7207631914996,1315.2040423078665
6.69161566451816,797.2634060309995
13.867214559075558,446.5659272187143
23.005839017896,334.2161714726745
45.79856164568719,231.1236532701577
105.08621514383812,172.97616729029488
266.9655265299251,168.47855244251016
452.1977776289135,168.47855244251016
1588.702724342364,155.6752886426732
4943.340552051138,159.83111429218062
14771.788280663137,172.97616729029488
40692.41718021681,159.83111429218062
97309.55297668802,187.20231403594653
