Iteration,NashConv
5279.141212613438, 4.983509304707088
7733.323916804977, 3.3002577774638935
61513.47152088702, 2.068717115717363
162329.17829019393, 1.238744305943007
310357.0041315019, 0.9770119001377173
441611.6388290548, 0.881387054627635
623803.8066315901, 0.8707934602210532
814470.8499593913, 0.860482361665313
1433048.4833504008, 0.797768282778347
1886436.6679614394, 0.7962145555987137
2399184.293230694, 0.8299728097743566
2793266.00515555, 0.8431088668385183
2962816.483632897, 0.8987605494544288
