Iteration,NashConv
0, 4.8672123766
349854.22740524786, 3.379061371841155
699708.4548104958, 2.8880866425992777
1586005.8309037904, 2.7725631768953067
2099125.364431487, 2.1083032490974727
2612244.8979591844, 1.5884476534296024
3498542.274052479, 1.3862815884476531
4221574.344023324, 1.068592057761733
5177842.565597667, 0.7509025270758114
6483965.014577259, 0.5920577617328515
7906705.539358601, 0.5487364620938626
9702623.90670554, 0.4620938628158848
11265306.122448979, 0.43321299638989164
12851311.95335277, 0.38989169675090274
14344023.323615162, 0.37545126353790614
16093294.460641399, 0.36101083032490955
