Total Pool Length,NashConv
3.9618373917567338, 0.7956458882558041
6.029900100289922, 0.4252062250191342
8.435273298919135, 0.2871842843779231
9.934292540474694, 0.17229356237775306
16.13977577670886, 0.1358959095161152
20.41089035394762, 0.11344502083510499
28.579054054918913, 0.0920996683391444
39.08413039653829, 0.06216515009779755
54.30165310264846, 0.04906879836720823
94.68950358078231, 0.04677268475210483
174.43375270113307, 0.05340590186240335
306.58387546662226, 0.05952887150267894
406.4249448500722, 0.05425631431244171
